"","obsID","predicted_prob","predicted_prob_lower","predicted_prob_upper","Policy","cost_con","when_1","when_2","when_3","how_1","how_2","how_3","type_1","type_2","type_3","type_4","edu_1","edu_2","edu_3","clin_1","clin_2","clin_3","wait_1","wait_2","wait_3","asc"
"2.26",80,0.73823713369854,0.700695417301276,0.769943688579804,2,780,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.261",80,0.26176286630146,0.230056311420196,0.299304582698724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.26",81,0.762100023106203,0.727786277210386,0.791479221860306,3,780,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.261",81,0.237899976893797,0.208520778139694,0.272213722789614,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.27",82,0.695816967998206,0.654554983883132,0.731427241532466,1,810,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.271",82,0.304183032001794,0.268572758467534,0.345445016116868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.27",83,0.73160137140456,0.693275168938943,0.764123131375888,2,810,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.271",83,0.26839862859544,0.235876868624112,0.306724831061057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.27",84,0.75586438539844,0.720839896727924,0.785835638279072,3,810,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.271",84,0.24413561460156,0.214164361720928,0.279160103272076,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.28",85,0.689246424623077,0.647104264469906,0.725491812535834,1,840,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.281",85,0.310753575376923,0.274508187464166,0.352895735530094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.28",86,0.72495801854736,0.685893143819954,0.758189935838495,2,840,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.281",86,0.27504198145264,0.241810064161505,0.314106856180046,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.28",87,0.749627762170566,0.713809720688105,0.780085487202329,3,840,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.281",87,0.250372237829434,0.219914512797671,0.286190279311895,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.29",88,0.682697394191879,0.639578823046479,0.719535418546118,1,870,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.291",88,0.317302605808121,0.280464581453881,0.360421176953521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.29",89,0.718316099904826,0.67843426581597,0.752347358755656,2,870,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.291",89,0.281683900095174,0.247652641244344,0.32156573418403,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.29",90,0.743391389166673,0.706703202544683,0.774597731156527,3,870,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
