"","Policy","predicted_uptake","predicted_uptake_lower","predicted_uptake_upper","WTP","Estimated_eligible_population","Budget_impact","Budget_impact_low","Budget_impact_high"
"...28",4,0.0842962190092204,0.0681890010114954,0.100119096938918,0,NA,NA,NA,NA
"1.7",1,0.160168806310442,0.129251745194703,0.196815995028865,70,NA,NA,NA,NA
"2.7",2,0.293771256351434,0.26030856375575,0.332451269084178,70,NA,NA,NA,NA
"3.7",3,0.460830996351194,0.410705321637189,0.50470969117931,70,NA,NA,NA,NA
"...32",4,0.0852289409869302,0.0690797992802628,0.101075049640232,0,NA,NA,NA,NA
"1.8",1,0.15999963162288,0.129100009312705,0.196589952850081,80,NA,NA,NA,NA
"2.8",2,0.293444615007351,0.260038712765529,0.332094709845668,80,NA,NA,NA,NA
"3.8",3,0.460378073872015,0.41024619774584,0.504216139261606,80,NA,NA,NA,NA
"...36",4,0.0861776794977538,0.069944718157979,0.102090656254107,0,NA,NA,NA,NA
"1.9",1,0.159827541336644,0.128945399664499,0.196388424402782,90,NA,NA,NA,NA
"2.9",2,0.293112108456089,0.259749227497885,0.331725191280259,90,NA,NA,NA,NA
"3.9",3,0.459917774077293,0.409780120036368,0.503761007536179,90,NA,NA,NA,NA
"...40",4,0.0871425761299729,0.0708998711516444,0.103141827799245,0,NA,NA,NA,NA
"1.10",1,0.159652504177031,0.128787880231863,0.19618302798632,100,NA,NA,NA,NA
"2.10",2,0.292773704503949,0.25944167212871,0.331343447288958,100,NA,NA,NA,NA
"3.10",3,0.45945002511175,0.409373170938333,0.503248062528567,100,NA,NA,NA,NA
"...44",4,0.0881237662072701,0.0718862417298418,0.104198667695657,0,NA,NA,NA,NA
"1.11",1,0.159474490675141,0.128631894119995,0.195947390999057,110,NA,NA,NA,NA
"2.11",2,0.292429375398444,0.25912946677857,0.330942577763477,110,NA,NA,NA,NA
"3.11",3,0.458974754438695,0.408987957828342,0.502786101604056,110,NA,NA,NA,NA
"...48",4,0.0891213794877206,0.0728646360791851,0.105270851161427,0,NA,NA,NA,NA
"1.12",1,0.159293472923021,0.128475727338817,0.195691179133303,120,NA,NA,NA,NA
"2.12",2,0.292079097117132,0.258813017353317,0.330560557341845,120,NA,NA,NA,NA
"3.12",3,0.458491888967176,0.408596609142628,0.502258816683992,120,NA,NA,NA,NA
"...52",4,0.0901355409926706,0.0738382973921424,0.106344791070412,0,NA,NA,NA,NA
"1.13",1,0.159109424291667,0.128317343879152,0.195451131692334,130,NA,NA,NA,NA
"2.13",2,0.291722848574544,0.258474940826471,0.330167114641658,130,NA,NA,NA,NA
"3.13",3,0.45800135520354,0.408198040224556,0.501702724113831,130,NA,NA,NA,NA
